ID, Date, Time, X Acceleration, Y Acceleration, Z Acceleration, Temperature 
0, 16/1/2020, 14:52:53, 0.1, 1.29, 9.8, 22.47 
0, 16/1/2020, 14:52:54, 0.08, 1.32, 9.8, 22.56 
0, 16/1/2020, 14:52:55, 0.04, 1.26, 9.75, 22.49 
0, 16/1/2020, 14:52:56, 0.05, 1.3, 9.78, 22.39 
0, 16/1/2020, 14:52:57, 0.08, 1.3, 9.79, 22.39 
0, 16/1/2020, 14:52:58, 0.03, 1.29, 9.65, 22.54 
0, 16/1/2020, 14:52:59, 0.09, 1.28, 9.75, 22.59 
0, 16/1/2020, 14:53:0, 0.09, 1.31, 9.78, 22.47 
0, 16/1/2020, 14:53:1, 0.09, 1.31, 9.76, 22.59 
0, 16/1/2020, 14:53:2, 0.07, 1.3, 9.78, 22.49 
0, 16/1/2020, 14:53:3, 0.11, 1.28, 9.71, 22.54 
0, 16/1/2020, 14:53:4, 0.06, 1.33, 9.74, 22.56 
0, 16/1/2020, 14:53:5, 0.09, 1.32, 9.84, 22.49 
0, 16/1/2020, 14:53:6, 0.09, 1.31, 9.83, 22.54 
0, 16/1/2020, 14:53:7, 0.07, 1.27, 9.75, 22.44 
0, 16/1/2020, 14:53:8, 0.13, 1.29, 9.81, 22.61 
0, 16/1/2020, 14:53:9, 0.08, 1.3, 9.75, 22.47 
0, 16/1/2020, 14:53:10, 0.06, 1.33, 9.76, 22.59 
0, 16/1/2020, 14:53:11, 0.1, 1.31, 9.76, 22.39 
0, 16/1/2020, 14:53:12, 0.11, 1.3, 9.78, 22.42 
0, 16/1/2020, 14:53:13, 0.1, 1.29, 9.72, 22.56 
0, 16/1/2020, 14:53:14, 0.09, 1.25, 9.82, 22.44 
0, 16/1/2020, 14:53:15, 0.08, 1.29, 9.67, 22.61 
0, 16/1/2020, 14:53:16, 0.11, 1.35, 9.77, 22.54 
0, 16/1/2020, 14:53:17, 0.11, 1.29, 9.84, 22.59 
0, 16/1/2020, 14:53:18, 0.07, 1.25, 9.76, 22.47 
0, 16/1/2020, 14:53:19, 0.07, 1.3, 9.82, 22.54 
0, 16/1/2020, 14:53:20, 0.07, 1.26, 9.84, 22.52 
0, 16/1/2020, 14:53:21, 0.09, 1.29, 9.73, 22.59 
0, 16/1/2020, 14:53:22, 0.04, 1.32, 9.79, 22.54 
0, 16/1/2020, 14:53:23, 0.09, 1.31, 9.83, 22.39 
0, 16/1/2020, 14:53:24, 0.05, 1.3, 9.77, 22.54 
0, 16/1/2020, 14:53:25, 0.08, 1.26, 9.82, 22.56 
0, 16/1/2020, 14:53:26, 0.07, 1.29, 9.75, 22.61 
0, 16/1/2020, 14:53:27, 0.1, 1.28, 9.75, 22.44 
0, 16/1/2020, 14:53:28, 0.06, 1.31, 9.75, 22.49 
0, 16/1/2020, 14:53:29, 0.06, 1.31, 9.77, 22.54 
0, 16/1/2020, 14:53:30, 0.08, 1.3, 9.8, 22.52 
0, 16/1/2020, 14:53:32, 0.03, 1.29, 9.81, 22.56 
0, 16/1/2020, 14:53:33, 0.09, 1.28, 9.77, 22.52 
0, 16/1/2020, 14:53:34, 0.07, 1.28, 9.7, 22.52 
0, 16/1/2020, 14:53:35, 0.08, 1.3, 9.85, 22.54 
0, 16/1/2020, 14:53:36, 0.06, 1.25, 9.86, 22.54 
0, 16/1/2020, 14:53:37, 0.11, 1.3, 9.88, 22.42 
0, 16/1/2020, 14:53:38, 0.1, 1.31, 9.75, 22.44 
0, 16/1/2020, 14:53:39, 0.07, 1.31, 9.81, 22.52 
0, 16/1/2020, 14:53:40, 0.11, 1.31, 9.81, 22.49 
0, 16/1/2020, 14:53:41, 0.08, 1.29, 9.81, 22.47 
0, 16/1/2020, 14:53:42, 0.05, 1.29, 9.72, 22.52 
0, 16/1/2020, 14:53:43, 0.08, 1.32, 9.72, 22.54 
0, 16/1/2020, 14:53:44, 0.09, 1.29, 9.8, 22.42 
0, 16/1/2020, 14:53:45, 0.09, 1.26, 9.78, 22.34 
0, 16/1/2020, 14:53:46, 0.1, 1.26, 9.76, 22.34 
0, 16/1/2020, 14:53:47, 0.07, 1.27, 9.72, 22.44 
0, 16/1/2020, 14:53:48, 0.07, 1.31, 9.79, 22.47 
0, 16/1/2020, 14:53:49, 0.08, 1.29, 9.75, 22.37 
0, 16/1/2020, 14:53:50, 0.06, 1.24, 9.69, 22.54 
0, 16/1/2020, 14:53:51, 0.06, 1.34, 9.98, 22.47 
0, 16/1/2020, 14:53:52, 0.09, 1.28, 9.81, 22.54 
0, 16/1/2020, 14:53:53, 0.07, 1.28, 9.72, 22.52 
0, 16/1/2020, 14:53:54, 0.07, 1.25, 9.77, 22.44 
0, 16/1/2020, 14:53:55, 0.08, 1.27, 9.76, 22.49 
0, 16/1/2020, 14:53:56, 0.07, 1.38, 9.82, 22.52 
0, 16/1/2020, 14:53:57, 0.07, 1.31, 9.75, 22.56 
0, 16/1/2020, 14:53:58, 0.12, 1.26, 9.66, 22.54 
0, 16/1/2020, 14:53:59, 0.08, 1.27, 9.7, 22.37 
0, 16/1/2020, 14:54:0, 0.04, 1.27, 9.71, 22.59 
0, 16/1/2020, 14:54:1, 0.05, 1.34, 9.79, 22.56 
0, 16/1/2020, 14:54:2, 0.07, 1.31, 9.77, 22.49 
0, 16/1/2020, 14:54:3, 0.04, 1.32, 9.82, 22.37 
0, 16/1/2020, 14:54:4, 0.06, 1.26, 9.62, 22.54 
0, 16/1/2020, 14:54:5, 0.09, 1.26, 9.68, 22.59 
0, 16/1/2020, 14:54:6, 0.09, 1.29, 9.8, 22.54 
0, 16/1/2020, 14:54:7, 0.11, 1.3, 9.77, 22.49 
0, 16/1/2020, 14:54:8, 0.11, 1.3, 9.78, 22.59 
0, 16/1/2020, 14:54:9, 0.05, 1.3, 9.72, 22.49 
0, 16/1/2020, 14:54:10, 0.07, 1.3, 9.71, 22.59 
0, 16/1/2020, 14:54:12, 0.0, 1.48, 9.74, 22.56 
0, 16/1/2020, 14:54:13, 0.07, 1.25, 9.74, 22.47 
0, 16/1/2020, 14:54:14, 0.09, 1.26, 9.64, 22.54 
0, 16/1/2020, 14:54:15, 0.09, 1.3, 9.81, 22.44 
0, 16/1/2020, 14:54:16, 0.13, 1.3, 9.67, 22.52 
0, 16/1/2020, 14:54:17, 0.08, 1.31, 9.83, 22.54 
0, 16/1/2020, 14:54:18, 0.08, 1.33, 9.8, 22.52 
0, 16/1/2020, 14:54:19, 0.11, 1.33, 9.73, 22.42 
0, 16/1/2020, 14:54:20, 0.09, 1.27, 9.79, 22.42 
0, 16/1/2020, 14:54:21, 0.09, 1.28, 9.78, 22.52 
0, 16/1/2020, 14:54:22, 0.08, 1.29, 9.77, 22.52 
0, 16/1/2020, 14:54:23, 0.1, 1.36, 9.95, 22.49 
0, 16/1/2020, 14:54:24, 0.09, 1.32, 9.84, 22.54 
0, 16/1/2020, 14:54:25, 0.06, 1.29, 9.7, 22.52 
0, 16/1/2020, 14:54:26, 0.12, 1.38, 9.71, 22.39 
0, 16/1/2020, 14:54:27, 0.07, 1.32, 9.76, 22.47 
0, 16/1/2020, 14:54:28, 0.1, 1.32, 9.89, 22.47 
0, 16/1/2020, 14:54:29, 0.08, 1.28, 9.82, 22.47 
0, 16/1/2020, 14:54:30, 0.11, 1.34, 9.76, 22.52 
0, 16/1/2020, 14:54:31, 0.07, 1.35, 9.7, 22.34 
0, 16/1/2020, 14:54:32, 0.03, 1.33, 9.87, 22.52 
0, 16/1/2020, 14:54:33, 0.11, 1.29, 9.79, 22.54 
0, 16/1/2020, 14:54:34, 0.11, 1.31, 9.95, 22.52 
0, 16/1/2020, 14:54:35, 0.1, 1.32, 9.81, 22.56 
0, 16/1/2020, 14:54:36, 0.07, 1.32, 9.77, 22.52 
0, 16/1/2020, 14:54:37, 0.08, 1.29, 9.63, 22.49 
0, 16/1/2020, 14:54:38, 0.06, 1.25, 9.66, 22.54 
0, 16/1/2020, 14:54:39, 0.06, 1.31, 9.74, 22.52 
0, 16/1/2020, 14:54:40, 0.12, 1.4, 10.05, 22.49 
0, 16/1/2020, 14:54:41, 0.07, 1.3, 9.82, 22.44 
0, 16/1/2020, 14:54:42, 0.06, 1.3, 9.8, 22.54 
0, 16/1/2020, 14:54:43, 0.07, 1.28, 9.77, 22.39 
0, 16/1/2020, 14:54:44, 0.07, 1.24, 9.71, 22.56 
0, 16/1/2020, 14:54:45, 0.08, 1.29, 9.77, 22.52 
0, 16/1/2020, 14:54:46, 0.07, 1.3, 9.87, 22.37 
0, 16/1/2020, 14:54:47, 0.08, 1.31, 9.76, 22.49 
0, 16/1/2020, 14:54:48, 0.08, 1.27, 9.74, 22.37 
0, 16/1/2020, 14:54:49, 0.09, 1.29, 9.79, 22.54 
0, 16/1/2020, 14:54:50, 0.09, 1.32, 9.92, 22.54 
0, 16/1/2020, 14:54:52, 0.06, 1.26, 9.79, 22.39 
0, 16/1/2020, 14:54:53, 0.07, 1.27, 9.69, 22.52 
0, 16/1/2020, 14:54:54, 0.07, 1.29, 9.76, 22.49 
0, 16/1/2020, 14:54:55, 0.07, 1.24, 9.6, 22.52 
0, 16/1/2020, 14:54:56, 0.1, 1.31, 9.81, 22.52 
0, 16/1/2020, 14:54:57, 0.06, 1.31, 9.91, 22.59 
0, 16/1/2020, 14:54:58, 0.09, 1.3, 9.77, 22.52 
0, 16/1/2020, 14:54:59, 0.07, 1.29, 9.82, 22.54 
0, 16/1/2020, 14:55:0, 0.04, 1.31, 9.75, 22.54 
0, 16/1/2020, 14:55:1, 0.04, 1.33, 9.72, 22.39 
0, 16/1/2020, 14:55:2, 0.05, 1.26, 9.79, 22.54 
0, 16/1/2020, 14:55:3, 0.09, 1.32, 9.83, 22.49 
0, 16/1/2020, 14:55:4, 0.11, 1.28, 9.74, 22.54 
0, 16/1/2020, 14:55:5, 0.08, 1.26, 9.87, 22.39 
0, 16/1/2020, 14:55:6, 0.06, 1.25, 9.81, 22.25 
0, 16/1/2020, 14:55:7, 0.09, 1.28, 9.77, 22.52 
0, 16/1/2020, 14:55:8, 0.1, 1.32, 9.8, 22.42 
0, 16/1/2020, 14:55:9, 0.07, 1.3, 9.76, 22.44 
0, 16/1/2020, 14:55:10, 0.04, 1.3, 9.79, 22.54 
0, 16/1/2020, 14:55:11, 0.04, 1.25, 9.77, 22.47 
0, 16/1/2020, 14:55:12, 0.08, 1.25, 9.8, 22.44 
0, 16/1/2020, 14:55:13, 0.08, 1.25, 9.72, 22.42 
0, 16/1/2020, 14:55:14, 0.08, 1.31, 9.8, 22.49 
0, 16/1/2020, 14:55:15, 0.1, 1.3, 9.8, 22.34 
0, 16/1/2020, 14:55:16, 0.07, 1.29, 9.76, 22.54 
0, 16/1/2020, 14:55:17, 0.11, 1.31, 9.84, 22.49 
0, 16/1/2020, 14:55:18, 0.06, 1.28, 9.8, 22.52 
0, 16/1/2020, 14:55:19, 0.07, 1.28, 9.81, 22.47 
0, 16/1/2020, 14:55:20, 0.09, 1.31, 9.88, 22.54 
0, 16/1/2020, 14:55:21, 0.04, 1.25, 9.57, 22.56 
0, 16/1/2020, 14:55:22, 0.06, 1.28, 9.76, 22.52 
0, 16/1/2020, 14:55:23, 0.11, 1.32, 9.8, 22.42 
0, 16/1/2020, 14:55:24, 0.08, 1.28, 9.76, 22.52 
0, 16/1/2020, 14:55:25, 0.06, 1.27, 9.76, 22.61 
0, 16/1/2020, 14:55:26, 0.12, 1.32, 9.77, 22.56 
0, 16/1/2020, 14:55:27, 0.09, 1.27, 9.79, 22.42 
0, 16/1/2020, 14:55:28, 0.1, 1.29, 9.77, 22.61 
0, 16/1/2020, 14:55:29, 0.09, 1.28, 9.77, 22.47 
